Adjacency Matrix
,AEHC,MB_Quad_Receive_Antenna,LB_MB_Octo_Passive_Antenna_1,LB_4_MB_5_Beam_Passive_Antenna_1,LB_4_MB_5_Beam_Passive_Antenna_2,LB_MB_Octo_Passive_Antenna_2,L19+_1,LAWS_1,N21,N19,L700_1,L600_1,N600_1,L15_1,U21_1,L19+_2,L19+_3,L19+_4,L19+_5,L19+_6,LAWS_2,LAWS_3,LAWS_4,LAWS_5,LAWS_6,N1_1,N1_2,N1_3,N1_4,N1_5,N3_1,N3_2,N3_3,N3_4,N3_5,L19+_7,L19+_8,L19+_9,L19+_10,L19+_11,LAWS_7,LAWS_8,LAWS_9,LAWS_10,LAWS_11,N1_6,N1_7,N1_8,N1_9,N1_10,N3_6,N3_7,N3_8,N3_9,N3_10,L700_2,L600_2,N600_2,L15_2,U21_2,AHFIG_1,AHLOA_1,AHFIG_2,AHLOA_2,FXFB_1,FRIE,FXFB_2,HCS1.0_1,HCS2.0_TowerTop_1,HCS1.0_2,HCS2.0_TowerTop_2,HCS2.0_TowerTop_3,5G_Airscale,LTE_TDD_Airscale2,ESMB_GSM,FSMF_UMTS_AWS,LTE_FDD_Airscale1
AEHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB_Quad_Receive_Antenna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LB_MB_Octo_Passive_Antenna_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LB_4_MB_5_Beam_Passive_Antenna_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LB_4_MB_5_Beam_Passive_Antenna_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LB_MB_Octo_Passive_Antenna_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L19+_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAWS_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
