Adjacency Matrix
,AEWB,AWEUD,AEHC,AAFIA,AHLOA,AHFIG,HCS2.0_Rooftop,HCS1.0_1,HCS1.0_2,HCS1.0_3,HCS1.0_4,HCS1.0_5,HCS1.0_6,5G_Airscale,LTE_TDD_Airscale2,FSMF_GSM_UMTS_PCS,LTE_FDD_Airscale1,Fiber_Jumpers
AEWB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AWEUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AEHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AAFIA,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
AHLOA,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
AHFIG,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
HCS2.0_Rooftop,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
HCS1.0_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCS1.0_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCS1.0_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCS1.0_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HCS1.0_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCS1.0_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5G_Airscale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTE_TDD_Airscale2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSMF_GSM_UMTS_PCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTE_FDD_Airscale1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiber_Jumpers,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Edge List with Ports
source,target,source_port,target_port
AEWB,Fiber_Jumpers,,
AWEUD,Fiber_Jumpers,,
AEHC,Fiber_Jumpers,,
AAFIA,AHLOA,8,
AAFIA,AHLOA,7,
AAFIA,AHLOA,6,
AAFIA,AHLOA,5,
AAFIA,AHFIG,4,
AAFIA,AHFIG,3,
AAFIA,AHFIG,2,
AAFIA,AHFIG,1,
Fiber_Jumpers,HCS2.0_Rooftop,,
AHLOA,HCS1.0_1,,
AHLOA,HCS1.0_4,,
AHFIG,HCS1.0_2,,
AHFIG,HCS1.0_3,,
AHFIG,HCS1.0_5,,
AHFIG,HCS1.0_6,,
HCS2.0_Rooftop,5G_Airscale,,
HCS2.0_Rooftop,LTE_TDD_Airscale2,,
HCS1.0_4,FSMF_GSM_UMTS_PCS,,
HCS1.0_6,LTE_FDD_Airscale1,,
